x,z
0.9998924265331203,1.000009208908796
0.9998677916358271,1.0000101888867763
0.9998391551082718,1.000011216213812
0.999806106646342,1.0000122902165993
0.9997682161374419,1.0000134101237397
0.9997250336881346,1.0000145751520397
0.9996760896607331,1.0000157843624102
0.9996208947127431,1.0000170366304337
0.9995589398256531,1.000018330693105
0.9994896963325994,1.000019665137639
0.9994126159454026,1.000021038485654
0.9993271307739158,1.0000224490469138
0.9992326533422082,1.0000238948877174
0.999128576615213,1.000025373875513
0.9990142740269875,1.0000268836655912
0.9988890995092131,1.0000284218789612
0.998752387537708,1.0000299859156967
0.9986034531767269,1.0000315727680527
0.9984415920982149,1.0000331791013832
0.9982660806083549,1.0000348013920797
0.9980761756685685,1.0000364357775626
0.9978711149112395,1.0000380782125173
0.9976501166514786,1.000039724241298
0.9974123798925314,1.0000413690383403
0.997157084344643,1.0000430073714555
0.9968833904438119,1.0000446335647795
0.9965904393786268,1.0000462417295803
0.996277353105409,1.0000478254770573
0.995943234354961,1.0000493779566355
0.9955871666505097,1.0000508920087499
0.995208214312414,1.000052359857165
0.99480542246545,1.0000537731076793
0.9943778170680699,1.0000551228423225
0.9939244049428527,1.000056399789744
0.9934441737934067,1.0000575941308567
0.9929360922045699,1.000058695495674
0.9923991096452252,1.000059692959644
0.9918321564986398,1.0000605747716211
0.9912341441144699,1.0000613286950104
0.990603964840058,1.0000619417922874
0.9899404920366628,1.000062400304997
0.9892425800916482,1.0000626898398262
0.9885090644438955,1.0000627952093832
0.9877387616122297,1.0000627003877052
0.9869304692243146,1.0000623888294071
0.9860829660358527,1.000061843040712
0.985195011908822,1.000061044973792
0.9842653478417484,1.0000599755011697
0.983292695998588,1.0000586144842896
0.9822757597238959,1.0000569410519404
0.9812132235576967,1.0000549333224271
0.980103753239874,1.000052568642687
0.9789459957484988,1.0000498230224597
0.9777385793234187,1.0000466716031016
0.9764801134718484,1.000043088243546
0.9751691889647826,1.0000390459685022
0.9738043778915072,1.0000345164202133
0.9723842336796024,1.0000294701913317
0.9709072911134511,1.000023876754309
0.9693720663638031,1.000017704122561
0.967777056995893,1.0000109193540456
0.9661207419695959,1.0000034880380415
0.9644015816625767,0.999995374184943
0.9626180179125028,0.9999865406142328
0.9607684740626342,0.9999769484602697
0.9588513549911234,0.9999665572718246
0.9568650471309085,0.99995532516818
0.9548079184806186,0.9999432089369829
0.9526783186346071,0.9999301640169922
0.950474578828373,0.9999161439249914
0.9481950119589901,0.9999011006978681
0.9458379126513191,0.9998849846449986
0.9434015572986236,0.9998677440998669
0.9408842040715548,0.9998493260712136
0.9382840929644175,0.9998296757825131
0.9355994458445913,0.9998087366525135
0.9328284665210969,0.9997864502566001
0.9299693408049896,0.9997627562109623
0.9270202365628624,0.9997375920944682
0.9239793037704198,0.9997108935427277
0.9208446746189709,0.999682594036733
0.9176144636038609,0.9996526251700641
0.9142867676174917,0.999620916033695
0.9108596660541783,0.999587393330124
0.9073312209295021,0.9995519818325461
0.9036994769979924,0.999514604019017
0.8999624618634094,0.9994751803774972
0.8961181861122837,0.9994336292318193
0.8921646434566938,0.9993898666064754
0.8880998108984818,0.9993438061112903
0.883921648904209,0.9992953586923538
0.8796281015275166,0.9992444330135956
0.8752170965522773,0.9991909354167821
0.8706865456817301,0.9991347696150822
0.8660343447068974,0.9990758367886085
0.8612583736637389,0.9990140358518588
0.8563564970211447,0.9989492627632839
0.8513265638057255,0.9988814106955964
0.8461664077580311,0.9988103701111436
0.8408738475111093,0.9987360287424857
0.8354466867749007,0.9986582714772518
0.8298827145164722,0.9985769803963926
0.8241797051524383,0.9984920345635497
0.8183354187211654,0.9984033101013869
0.8123476010595022,0.998310679941785
0.8062139839444614,0.9982140139389257
0.7999322852273871,0.9981131787705051
0.7935002090714067,0.9980080377297684
0.7869154462621306,0.9978984507907719
0.7801756745121855,0.9977842749232027
0.7732785588083217,0.9976653637573791
0.7662217516974537,0.9975415679375436
0.7590028936359094,0.9974127350183283
0.7516196133575461,0.99727870896024
0.7440695282026203,0.9971393305643776
0.7363502444704512,0.9969944376016603
0.7284593578034176,0.9968438641960856
0.7203944535199885,0.9966874410891887
0.7121531069678284,0.9965249959637311
0.7037328839587345,0.9963563528518781
0.6951313411396205,0.9961813323471336
0.6863460263355587,0.9959997518339725
0.6773744789396463,0.995811425222144
0.6682142302842913,0.9956161631994244
0.6588628040907173,0.9954137727799337
0.649317716867928,0.9952040574652048
0.6395764783587885,0.9949868170059988
0.6296365919442826,0.9947618478158381
0.6194955550924308,0.994528942754369
0.6091508597793346,0.9942878911985058
0.598599992858432,0.9940384791295003
0.587840436438682,0.9937804885298125
0.5768696681079216,0.993513697845214
0.5656851611195333,0.9932378822320986
0.5542843846237566,0.9929528130397222
0.5426648038061515,0.9926582583236073
0.5308238801210737,0.9923539825203915
0.5187590714917028,0.9920397463514842
0.5064678325330897,0.991715306651888
0.4939476147839328,0.9913804166043705
0.48119586697786426,0.9910348257271423
0.46821003533199856,0.9906782797869093
0.4549875638460226,0.9903105205595891
0.4415258945402894,0.9899312861250332
0.42782246773159666,0.9895403110498773
0.41387472235829914,0.9891373262292886
0.3996800963746873,0.988722057966487
0.385236027057729,0.9882942284124618
0.37053995124535627,0.9878535569999083
0.35558930575094483,0.9873997594296847
0.3403815276346813,0.9869325474155918
0.324914054433023,0.9864516285021183
0.3091843243139534,0.9859567065687223
0.2931897763468847,0.9854474816712813
0.2769278507817092,0.9849236500204812
0.26039598938632547,0.9843849032540054
0.24359163575934747,0.9838309284401888
0.22651223559873654,0.9832614088095801
0.20915523703738337,0.9826760237037593
0.19151809099711598,0.9820744488936719
0.17359825160819198,0.9814563565974626
0.15539317660477442,0.9808214159020551
0.1369003277347195,0.9801692942862603
0.11811717163387324,0.9794996559771362
0.09904118067059234,0.9788121607717821
0.07966983355111734,0.9781064643005819
0.0600006157940077,0.9773822185083879
0.04003102019231858,0.9766390719231941
0.019758547199680093,0.9758766700714065
-0.0008192946768506388,0.975094655257802
-0.021704988483648165,0.9742926665018059
-0.04290100842060875,0.9734703397848069
-0.06440981941443454,0.9726273083407572
-0.0862338766035211,0.9717632024379561
-0.10837562481727907,0.9708776490094213
-0.1308374981626006,0.9699702720636847
-0.15362191952195597,0.969040692644527
-0.17673130005439436,0.9680885289472566
-0.20016803874757877,0.9671133962558021
-0.2239345219589124,0.9661149062453763
-0.24803312317017107,0.9650926680179344
-0.27246620263431753,0.9640462885716169
-0.29723610679528184,0.962975372258942
-0.32234516779709144,0.9618795211059368
-0.34779570296001694,0.9607583350793896
-0.37359001419236937,0.9596114116301445
-0.3997303874442774,0.9584383450980448
-0.426219092316819,0.9572387274135424
-0.4530583815251771,0.9560121480275038
-0.4802504904122182,0.954758194359396
-0.5077976364573868,0.9534764518599815
-0.5357020189444759,0.9521665040719688
-0.5639658186629738,0.950827932279757
-0.5925911977300256,0.9494603158789967
-0.6215802993629743,0.9480632323465591
-0.6509352476499073,0.946636256998935
-0.680658147432706,0.9451789634126068
-0.7107510841359944,0.9436909235036731
-0.7412161235656766,0.9421717072639734
-0.7720553118185509,0.9406208830624672
-0.8032706751644247,0.9390380177179412
-0.8348642198856892,0.9374226763269115
-0.8668379321998572,0.9357744226222106
-0.899193778065555,0.9340928187680673
-0.9319337030502868,0.9323774256900348
-0.9650596321157773,0.9306278032825549
-0.9985734692998036,0.9288435101688609
-1.0324770973479693,0.9270241033741071
-1.0667723774298425,0.9251691385109735
-1.101461148904102,0.923278170113273
-1.1365452290551408,0.9213507518587196
-1.1720264127989284,0.91938643631201
-1.20790647251815,0.9173847751333456
-1.2441871578560424,0.9153453189833315
-1.2808701954762154,0.9132676172603946
-1.3179572888673863,0.9111512182987195
-1.3554501181107557,0.9089956695541946
-1.3933503396376807,0.9068005176764782
-1.4316595860350545,0.90456530896303
-1.4703794657939278,0.9022895892786286
-1.5095115630021483,0.8999729037144821
-1.549057437212361,0.8976147973078134
-1.5890186231342136,0.895214814722105
-1.6293966303247565,0.8927725001061506
-1.6701929429860596,0.8902873976360584
-1.7114090197642549,0.8877590517649782
-1.7530462933978406,0.8851870067423144
-1.7951061704680948,0.8825708070331896
-1.8375900311387963,0.8799099977208731
-1.8804992288140365,0.8772041241655384
-1.9238350898623744,0.8744527320626472
-1.9675989135795715,0.8716553687831384
-2.0117919717634303,0.8688115829338922
1.0,1.0
0.9999999996003626,1.0000000316698066
0.9999999899318214,1.000000113985948
0.9999999428823185,1.0000002469143938
0.9999998099247209,1.0000004304202539
0.9999995221440746,1.000000664466684
0.9999989902652949,1.0000009489175374
0.9999981046892739,1.0000012836695553
0.9999967355328013,1.0000016688606133
0.9999947326748817,1.0000021045409193
0.9999919258076484,1.0000025906314416
0.9999881244660928,1.0000031270351162
0.9999831180551694,1.0000037136325948
0.9999766758769005,1.0000043502775489
0.9999685471574873,1.0000050367915272
0.9999584610744278,1.0000057729583731
0.9999461267836496,1.0000065585181979
0.9999312334470052,1.0000073932567144
0.9999134502684477,1.000008276864147
0.9998924265331203,1.000009208908796
0.9998677916358271,1.0000101888867763
0.9998391551082718,1.000011216213812
0.999806106646342,1.0000122902165993
0.9997682161374419,1.0000134101237397
0.9997250336881346,1.0000145751520397
0.9996760896607331,1.0000157843624102
0.9996208947127431,1.0000170366304337
0.9995589398256531,1.000018330693105
0.9994896963325994,1.000019665137639
0.9994126159454026,1.000021038485654
0.9993271307739158,1.0000224490469138
0.9992326533422082,1.0000238948877174
0.999128576615213,1.000025373875513
0.9990142740269875,1.0000268836655912
0.9988890995092131,1.0000284218789612
0.998752387537708,1.0000299859156967
0.9986034531767269,1.0000315727680527
0.9984415920982149,1.0000331791013832
0.9982660806083549,1.0000348013920797
0.9980761756685685,1.0000364357775626
0.9978711149112395,1.0000380782125173
0.9976501166514786,1.000039724241298
0.9974123798925314,1.0000413690383403
0.997157084344643,1.0000430073714555
0.9968833904438119,1.0000446335647795
0.9965904393786268,1.0000462417295803
0.996277353105409,1.0000478254770573
0.995943234354961,1.0000493779566355
0.9955871666505097,1.0000508920087499
0.995208214312414,1.000052359857165
0.99480542246545,1.0000537731076793
0.9943778170680699,1.0000551228423225
0.9939244049428527,1.000056399789744
0.9934441737934067,1.0000575941308567
0.9929360922045699,1.000058695495674
0.9923991096452252,1.000059692959644
0.9918321564986398,1.0000605747716211
0.9912341441144699,1.0000613286950104
0.990603964840058,1.0000619417922874
0.9899404920366628,1.000062400304997
0.9892425800916482,1.0000626898398262
0.9885090644438955,1.0000627952093832
0.9877387616122297,1.0000627003877052
0.9869304692243146,1.0000623888294071
0.9860829660358527,1.000061843040712
0.985195011908822,1.000061044973792
0.9842653478417484,1.0000599755011697
0.983292695998588,1.0000586144842896
0.9822757597238959,1.0000569410519404
0.9812132235576967,1.0000549333224271
0.980103753239874,1.000052568642687
0.9789459957484988,1.0000498230224597
0.9777385793234187,1.0000466716031016
0.9764801134718484,1.000043088243546
0.9751691889647826,1.0000390459685022
0.9738043778915072,1.0000345164202133
0.9723842336796024,1.0000294701913317
0.9709072911134511,1.000023876754309
0.9693720663638031,1.000017704122561
0.967777056995893,1.0000109193540456
0.9661207419695959,1.0000034880380415
0.9644015816625767,0.999995374184943
0.9626180179125028,0.9999865406142328
0.9607684740626342,0.9999769484602697
0.9588513549911234,0.9999665572718246
0.9568650471309085,0.99995532516818
0.9548079184806186,0.9999432089369829
0.9526783186346071,0.9999301640169922
0.950474578828373,0.9999161439249914
0.9481950119589901,0.9999011006978681
0.9458379126513191,0.9998849846449986
0.9434015572986236,0.9998677440998669
0.9408842040715548,0.9998493260712136
0.9382840929644175,0.9998296757825131
0.9355994458445913,0.9998087366525135
0.9328284665210969,0.9997864502566001
0.9299693408049896,0.9997627562109623
0.9270202365628624,0.9997375920944682
0.9239793037704198,0.9997108935427277
0.9208446746189709,0.999682594036733
0.9176144636038609,0.9996526251700641
0.9142867676174917,0.999620916033695
0.9108596660541783,0.999587393330124
0.9073312209295021,0.9995519818325461
0.9036994769979924,0.999514604019017
0.8999624618634094,0.9994751803774972
0.8961181861122837,0.9994336292318193
0.8921646434566938,0.9993898666064754
0.8880998108984818,0.9993438061112903
0.883921648904209,0.9992953586923538
0.8796281015275166,0.9992444330135956
0.8752170965522773,0.9991909354167821
0.8706865456817301,0.9991347696150822
0.8660343447068974,0.9990758367886085
0.8612583736637389,0.9990140358518588
0.8563564970211447,0.9989492627632839
0.8513265638057255,0.9988814106955964
0.8461664077580311,0.9988103701111436
0.8408738475111093,0.9987360287424857
0.8354466867749007,0.9986582714772518
0.8298827145164722,0.9985769803963926
0.8241797051524383,0.9984920345635497
0.8183354187211654,0.9984033101013869
0.8123476010595022,0.998310679941785
0.8062139839444614,0.9982140139389257
0.7999322852273871,0.9981131787705051
0.7935002090714067,0.9980080377297684
0.7869154462621306,0.9978984507907719
0.7801756745121855,0.9977842749232027
0.7732785588083217,0.9976653637573791
0.7662217516974537,0.9975415679375436
0.7590028936359094,0.9974127350183283
0.7516196133575461,0.99727870896024
0.7440695282026203,0.9971393305643776
0.7363502444704512,0.9969944376016603
0.7284593578034176,0.9968438641960856
0.7203944535199885,0.9966874410891887
0.7121531069678284,0.9965249959637311
0.7037328839587345,0.9963563528518781
0.6951313411396205,0.9961813323471336
0.6863460263355587,0.9959997518339725
0.6773744789396463,0.995811425222144
0.6682142302842913,0.9956161631994244
0.6588628040907173,0.9954137727799337
0.649317716867928,0.9952040574652048
0.6395764783587885,0.9949868170059988
0.6296365919442826,0.9947618478158381
0.6194955550924308,0.994528942754369
0.6091508597793346,0.9942878911985058
0.598599992858432,0.9940384791295003
0.587840436438682,0.9937804885298125
0.5768696681079216,0.993513697845214
0.5656851611195333,0.9932378822320986
0.5542843846237566,0.9929528130397222
0.5426648038061515,0.9926582583236073
0.5308238801210737,0.9923539825203915
0.5187590714917028,0.9920397463514842
0.5064678325330897,0.991715306651888
0.4939476147839328,0.9913804166043705
0.48119586697786426,0.9910348257271423
0.46821003533199856,0.9906782797869093
0.4549875638460226,0.9903105205595891
0.4415258945402894,0.9899312861250332
0.42782246773159666,0.9895403110498773
0.41387472235829914,0.9891373262292886
0.3996800963746873,0.988722057966487
0.385236027057729,0.9882942284124618
0.37053995124535627,0.9878535569999083
0.35558930575094483,0.9873997594296847
0.3403815276346813,0.9869325474155918
0.324914054433023,0.9864516285021183
0.3091843243139534,0.9859567065687223
0.2931897763468847,0.9854474816712813
0.2769278507817092,0.9849236500204812
0.26039598938632547,0.9843849032540054
0.24359163575934747,0.9838309284401888
0.22651223559873654,0.9832614088095801
0.20915523703738337,0.9826760237037593
0.19151809099711598,0.9820744488936719
0.17359825160819198,0.9814563565974626
0.15539317660477442,0.9808214159020551
0.1369003277347195,0.9801692942862603
0.11811717163387324,0.9794996559771362
0.09904118067059234,0.9788121607717821
0.07966983355111734,0.9781064643005819
0.0600006157940077,0.9773822185083879
0.04003102019231858,0.9766390719231941
0.019758547199680093,0.9758766700714065
-0.0008192946768506388,0.975094655257802
-0.021704988483648165,0.9742926665018059
-0.04290100842060875,0.9734703397848069
-0.06440981941443454,0.9726273083407572
-0.0862338766035211,0.9717632024379561
-0.10837562481727907,0.9708776490094213
-0.1308374981626006,0.9699702720636847
-0.15362191952195597,0.969040692644527
-0.17673130005439436,0.9680885289472566
-0.20016803874757877,0.9671133962558021
-0.2239345219589124,0.9661149062453763
-0.24803312317017107,0.9650926680179344
-0.27246620263431753,0.9640462885716169
-0.29723610679528184,0.962975372258942
-0.32234516779709144,0.9618795211059368
-0.34779570296001694,0.9607583350793896
-0.37359001419236937,0.9596114116301445
-0.3997303874442774,0.9584383450980448
-0.426219092316819,0.9572387274135424
-0.4530583815251771,0.9560121480275038
-0.4802504904122182,0.954758194359396
-0.5077976364573868,0.9534764518599815
-0.5357020189444759,0.9521665040719688
-0.5639658186629738,0.950827932279757
-0.5925911977300256,0.9494603158789967
-0.6215802993629743,0.9480632323465591
-0.6509352476499073,0.946636256998935
-0.680658147432706,0.9451789634126068
-0.7107510841359944,0.9436909235036731
-0.7412161235656766,0.9421717072639734
-0.7720553118185509,0.9406208830624672
-0.8032706751644247,0.9390380177179412
-0.8348642198856892,0.9374226763269115
-0.8668379321998572,0.9357744226222106
-0.899193778065555,0.9340928187680673
-0.9319337030502868,0.9323774256900348
-0.9650596321157773,0.9306278032825549
-0.9985734692998036,0.9288435101688609
-1.0324770973479693,0.9270241033741071
-1.0667723774298425,0.9251691385109735
-1.101461148904102,0.923278170113273
-1.1365452290551408,0.9213507518587196
-1.1720264127989284,0.91938643631201
-1.20790647251815,0.9173847751333456
-1.2441871578560424,0.9153453189833315
-1.2808701954762154,0.9132676172603946
-1.3179572888673863,0.9111512182987195
-1.3554501181107557,0.9089956695541946
-1.3933503396376807,0.9068005176764782
-1.4316595860350545,0.90456530896303
-1.4703794657939278,0.9022895892786286
-1.5095115630021483,0.8999729037144821
-1.549057437212361,0.8976147973078134
-1.5890186231342136,0.895214814722105
-1.6293966303247565,0.8927725001061506
-1.6701929429860596,0.8902873976360584
-1.7114090197642549,0.8877590517649782
-1.7530462933978406,0.8851870067423144
-1.7951061704680948,0.8825708070331896
-1.8375900311387963,0.8799099977208731
-1.8804992288140365,0.8772041241655384
-1.9238350898623744,0.8744527320626472
-1.9675989135795715,0.8716553687831384
-2.0117919717634303,0.8688115829338922
